test case, down level(mm), up level(mm), test cycle, up time avg(s), down time avg(s)
PD to LEVEL 1, -1770, -1016, 10, 3.13458788394928, 3.087349843978882
PD to LEVEL 2, -1770, -508, 10, 3.8289315938949584, 3.7930458784103394
PD to LEVEL 3, -1770, 0, 10, 4.42035596370697, 4.394113898277283
PD to LEVEL 4, -1770, 508, 10, 4.876503658294678, 4.933246827125549
PD to LEVEL 5, -1770, 1016, 10, 5.391902613639831, 5.394808554649353
PD to LEVEL 6, -1770, 1524, 10, 5.913725972175598, 5.970280504226684
PD to LEVEL 7, -1770, 2032, 10, 6.400364971160888, 6.398238205909729
PD to LEVEL 8, -1770, 2540, 10, 6.910666561126709, 6.909888458251953
PD to LEVEL 9, -1770, 3150, 10, 7.5352328538894655, 7.529756617546082
PD to LEVEL 10, -1770, 3658, 10, 8.077020692825318, 8.097929120063782
PD to LEVEL 11, -1770, 4166, 10, 8.581483197212219, 8.537848281860352
PD to LEVEL 12, -1770, 4674, 10, 9.067649531364442, 9.065966582298278
PD to LEVEL 13, -1770, 5182, 10, 9.54780216217041, 9.562838339805603
PD to LEVEL 14, -1770, 5690, 10, 10.08840470314026, 10.093817567825317
PD to LEVEL 15, -1770, 6198, 10, 10.60719554424286, 10.583088088035584